original_sentence,dialect
"The book that I left it here, where is it?",Resumptive Object Pronoun
Now they wearing American type of dresses.,Copula Omission
they use proper grammars there,Mass Nouns As Count Nouns
i have to make not so much adjustment,None of the Above
i don’t have to make so much adjustment,None of the Above
"and that roommate, he will do an interview",Left Dislocation
"the store is around the corner, no, by the post office","Invariant Tag ""isn’t it, no, na"""
daytime I work for the courier service,Prepositional Phrase Fronting With Reduction
how your mother is feeling?,Lack Of Inversion In Wh-questions
"It’s come from me, hasn’t it?",None of the Above
"the store is around the corner, na, by the post office","Invariant Tag ""isn’t it, no, na"""
But I did have some difficulty getting to know people among Indians themselves,None of the Above
for many years I did not travel,Topicalized Non-argument Constituent
because there is no individuality in India,None of the Above
I was there just yesterday,None of the Above
and there are a lot of buildings in the background,None of the Above
person I like most is from mechanical department,Article Omission
So if you’re not good at communication you may get filtered at even the first level,None of the Above
Now they are wearing American type of dresses.,None of the Above
two years I stayed alone,Prepositional Phrase Fronting With Reduction
ten years ago you didn’t operate a machine that could lift a house all by itself,None of the Above
I think you should start going to the gym from now itself.,Focus Itself
So my parents from Gujarat.,Copula Omission
the school principal called me to ask when you are going back,None of the Above
Those days it was considered a good job.,Preposition Omission
"I was very scared to, na?","Invariant Tag ""isn’t it, no, na"""
we will be knowing how much the structure is getting deflected,Stative Progressive
"the children are playing outside, no?","Invariant Tag ""isn’t it, no, na"""
You get on the train and buy the ticket there only,Focus Only
you can use Hindi Gujarati and Marathi in Bombay,None of the Above
they use proper grammar there,None of the Above
we want to know how can we make your favorite dish,Inversion In Embedded Clause
and the production function gives you the relationship between input and output,None of the Above
you have to wait a minimum of one month,None of the Above
it was first day of term,Article Omission
he talks to them,None of the Above
some informations are available free,Mass Nouns As Count Nouns
"my father, he works for a mining company",Left Dislocation
he likes here more,Direct Object Pronoun Drop
I went there for one year.,None of the Above
I’m going to find my bag which I left in the room.,None of the Above
But now all kids they have a computer and all new technology.,Left Dislocation
there is corruption obviously,None of the Above
"first of all, we can see a plate the right side",Preposition Omission
"and that roommate, he will do an interview",Resumptive Subject Pronoun
Tirupati temple I stayed one or two days,Prepositional Phrase Fronting With Reduction
I’m going to find my bag which I left it in the room.,Resumptive Object Pronoun
ten years ago you didn’t operated a machine that could lift a house all by itself,Lack Of Agreement
daytime I work for the courier service,Topicalized Non-argument Constituent
Here life is busy.,None of the Above
I can see some green colour leaves on the left side,None of the Above
Here the life is busy.,Extraneous Article
there are five balls,None of the Above
he talk to them,Lack Of Agreement
In those days it was considered a good job.,None of the Above
"first of all, right side we can see a plate",Article Omission
recently only in April there was a big fight,Focus Only
I think Nina must be knowing her sister,Stative Progressive
"he liked it, right, even though you said he wouldn’t",None of the Above
he was wondering why did the police stop him,Inversion In Embedded Clause
two years I stayed alone,Preposition Omission
some people they are very nice,Left Dislocation
"My parents and siblings, they really enjoy playing board games.",None of the Above
I did one refresher course in the month of June itself.,Focus Itself
a recipe is simple thing,Article Omission
the union person contacted his representative at the school,None of the Above
Whereas we had lot of time and we didn’t have any TV and we used to play outdoor games.,None of the Above
recipe is a simple thing,Article Omission
My old life I want to spend it in India.,Left Dislocation
"first of all, right side we can see a plate",Prepositional Phrase Fronting With Reduction
it was the first day of term,None of the Above
she gets nightmares,None of the Above
My daughter she is attending the University of Delhi.,Left Dislocation
and in the background there are a lot of buildings,Topicalized Non-argument Constituent
"if anybody gives a donation, we give a receipt",None of the Above
You get on the train and buy the ticket there too,None of the Above
They are all aggressive states.,None of the Above
"anybody giving donation, we are giving receipt",Habitual Progressive
Because educated people get a good money.,Extraneous Article
"first of all, we can see a plate on the right side",None of the Above
So I did my schooling from there.,None of the Above
in the daytime I work for the courier service,Topicalized Non-argument Constituent
I think you should start going to the gym from now.,None of the Above
But now all kids have a computer and all new technology.,None of the Above
I’m working very near my house,None of the Above
I did not travel for many years,None of the Above
those who come here definitely they should learn English,Left Dislocation
he likes it here more,None of the Above
I work for the courier service in the daytime,None of the Above
I think she a teacher.,Copula Omission
how is your mother feeling?,None of the Above
only his shoes are visible,None of the Above
my bother said that one of his favorite place is the beach nearby,Lack Of Agreement
They all aggressive states.,Copula Omission
Whereas we had lot of time and we didn’t have any TV and all and we used to play outdoor games.,"General Extender ""and all"""
"Sorry I can’t come, everything is busy in our life.",None of the Above
and that roommate will do an interview,None of the Above
Some teachers when I was in school I liked very much.,None of the Above
"yeah, so to my parent’s house I go very often",Topicalized Non-argument Constituent
So my parents are from Gujarat.,None of the Above
some information is available free,None of the Above
"I was very scared to, wasn’t I?",None of the Above
My daughter is attending the University of Delhi.,None of the Above
and the production function gives you the relationship between input and output,Article Omission
Whereas we had lot of time and we didn’t have any TV and all that stuff and we used to play outdoor games.,None of the Above
only his shoes is visible,Lack Of Agreement
some flower part is there,"Non-initial Existential ""is / are there"""
they get H1B visas to come to the country,None of the Above
"We are like we are in touch, but not before when we was in school.",Lack Of Agreement
"The cake, I like it very much.",Left Dislocation
"A person living in Calcutta, which he didn’t know Hindi earlier, when he comes to Delhi he has to learn English.",Resumptive Subject Pronoun
She has business experience.,None of the Above
"It’s come from me, no?","Invariant Tag ""isn’t it, no, na"""
Chandigarh was full of employed people.,None of the Above
"My parents and siblings and all, they really enjoy playing board games.",Left Dislocation
Hindi Gujarati and Marathi you can use in Bombay,Object Fronting
in our old age we can go and enjoy,Direct Object Pronoun Drop
they are teasing the new children when they join,Habitual Progressive
we have two tailors who can make clothes for us,None of the Above
they are getting H1B visas to come to the country,Habitual Progressive
person I like the most is from the mechanical department,Article Omission
my bother said that one of his favorite places is the beach nearby,None of the Above
and the production function is giving you the relationship between input and output,Stative Progressive
you cannot ask them why are they not coming for clinic visits,Inversion In Embedded Clause
those who come here should definitely learn English,None of the Above
"We are like we are in touch, but not before when we was in school.",None of the Above
a recipe is a simple thing,None of the Above
"he liked it, na, even though you said he wouldn’t","Invariant Tag ""isn’t it, no, na"""
So at that time they said okay go and work for a few months.,None of the Above
I did one refresher course in the month of June.,None of the Above
"first of all, we can see a plate the right side",None of the Above
"Sorry I can’t come, everything busy in our life.",Copula Omission
But I did have some difficulty getting to know people among Indians itself,Focus Itself
why are you driving like a lorry?,None of the Above
the person I like the most is from the mechanical department,None of the Above
I like the cake very much.,None of the Above
I don’t know now what they are doing,None of the Above
recipe is simple thing,Article Omission
I stayed one or two days at the Tirupati temple,None of the Above
my father works for a mining company,None of the Above
all the musics are very good,Mass Nouns As Count Nouns
"yeah, so I go very often to my parent’s house",None of the Above
in fifteen years lot of changes we have seen,Object Fronting
some people are very nice,None of the Above
she doesn’t like it,None of the Above
I was there yesterday only,Focus Only
Some teachers when I was in school I liked them very much.,Resumptive Object Pronoun
So marketing keeps its communication with the different embassies.,None of the Above
he was wondering why the police stopped him,None of the Above
"The cake, I like it very much.",Resumptive Object Pronoun
in fifteen years we have seen a lot of changes,None of the Above
why are you telling this to everybody?,None of the Above
every year inflation is there,"Non-initial Existential ""is / are there"""
She has a business experience.,Extraneous Article
He is doing Engineering in Delhi itself.,Focus Itself
why you are telling this to everybody?,Lack Of Inversion In Wh-questions
union person contacted his representative at the school,Article Omission
I don’t know now what are they doing,Inversion In Embedded Clause
"The book that I left here, where is it?",None of the Above
he does a lot of things,None of the Above
"actually, this part I have not been",Prepositional Phrase Fronting With Reduction
with your mother I love to go shopping,Topicalized Non-argument Constituent
every year there is inflation,None of the Above
Some teachers when I was in school I liked them very much.,Left Dislocation
"the camera, the dog is facing towards it",Left Dislocation
"It’s come from me, na?","Invariant Tag ""isn’t it, no, na"""
So I did my schooling and all from there.,"General Extender ""and all"""
"actually, this part I have not been",Preposition Omission
as recently as April there was a big fight,None of the Above
nowadays all the children are mature from a very early age,None of the Above
tomorrow you have to try this cake,None of the Above
we have two tailors who can make for us,Direct Object Pronoun Drop
But now all kids they have a computer and all new technology.,Resumptive Subject Pronoun
person I like most is from the mechanical department,Article Omission
not so much adjustment i have to make,Object Fronting
many years I did not travel,Topicalized Non-argument Constituent
the store is around the corner by the post office,None of the Above
"and all the company people, they are my clients",Left Dislocation
nowadays all the children they are mature from a very early age,Left Dislocation
you cannot ask them why they are not coming for clinic visits,None of the Above
the school principal called me to ask when are you going back,Inversion In Embedded Clause
some people they are very nice,Resumptive Subject Pronoun
"first of all, right side we can see a plate",Preposition Omission
five balls are there,"Non-initial Existential ""is / are there"""
everyone gets that vaccination in childhood,None of the Above
everyone is getting that vaccination in childhood,Habitual Progressive
why you are driving like a lorry?,Lack Of Inversion In Wh-questions
"the children are playing outside, isn’t it?","Invariant Tag ""isn’t it, no, na"""
Chandigarh was full of the employed people.,Extraneous Article
My old life I want to spend it in India.,Resumptive Object Pronoun
